"","Species","order","presence","genome.assembly","ott_id","flags","tips"
"275","Ctenopoma acutirostre","Anabantiformes","present","",774818,"","Ctenopoma acutirostre"
"276","Dascyllus aruanus","Ovalentaria/misc","present","",49239,"incertae_sedis_inherited","Dascyllus aruanus"
"277","Decapterus maruadsi","Carangiformes","present","y",766162,"","Decapterus maruadsi"
"278","Dicentrarchus labrax","Eupercaria/misc","present","y",3549,"","Dicentrarchus labrax"
"279","Dictyosoma burgeri","Perciformes/Zoarcoidei","present","",783192,"","Dictyosoma burgeri"
"280","Ditrema temminckii","Ovalentaria/misc","present","",43516,"incertae_sedis_inherited","Ditrema temminckii"
"281","Doederleinia berycoides","Acropomatiformes","present","",1005375,"","Doederleinia berycoides"
"282","Pholis nebulosa","Perciformes/Zoarcoidei","present","",1084060,"","Pholis nebulosa"
"283","Entomacrodus stellifer","Blenniiformes","present","",3639477,"","Entomacrodus stellifer"
"284","Eopsetta grigorjewi","Pleuronectiformes","present","",331920,"","Eopsetta grigorjewi"
"285","Hyporthodus septemfasciatus","Perciformes/Serranoidei","present","",481019,"","Hyporthodus septemfasciatus"
